EducationOrganizationId	StateOrganizationId	NameOfInstitution	ShortNameOfInstitution	OperationalStatusTypeId	CreateDate	LastModifiedDate	Id	PeopleSoft	School
4440	350008	Dr. Catherine Ellison / Rosa Parks Early Education School	Ellison/Parks Early Education School	1	2019-01-17 18:50:59	2019-03-01 11:40:49	6F2C32F9-1BDF-4426-B839-2931BDEFA993	101209	4440
4410	350258	William H. Ohrenberger School	Ohrenberger School	1	2019-01-17 18:50:59	2019-03-01 11:40:48	545B982C-2803-433E-BBE0-43C06EA18EED	101376	4410
4401	350240	Richard J. Murphy K-8 School Satellite	Murphy K-8 Satellite	7	2019-01-17 18:51:00	2019-03-01 11:40:48	C6BF5227-9A67-489B-85F1-A4348BAFE033	101525	4401
4400	350240	Richard J. Murphy K-8 School	Murphy K-8 School	1	2019-01-17 18:51:00	2019-03-01 11:40:48	9BC50BD6-70FE-4E12-A375-DED088145E30	101366	4400
4391	350266	Dr. William W. Henderson Inclusion Lower	Henderson K-12 Inclusion School Lower	1	2019-01-17 18:50:58	2019-03-01 11:40:48	96C87E05-B76F-43B1-BC1E-12E7FDE57093	101373	4391
4390	350328	Thomas J. Kenny Elementary School	Kenny Elementary	1	2019-01-17 18:50:58	2019-03-01 11:40:47	F9F7A809-3DB8-4766-B11C-DEDBDFB24B75	101322	4390
4381	350096	John Eliot K-8 School	Eliot K-8 Innovation School	1	2019-01-17 18:50:59	2019-03-01 11:40:47	E761FF23-C535-4B02-928A-84FE9F66577A	101261	4381
4371	N/A	Margaret Fuller Elementary School	Fuller Elementary	7	2019-01-17 18:50:58	2019-03-01 11:40:47	90013251-26FD-4930-B2A9-7ADB6E11D3C2	101277	4371
4370	350100	Ellis Mendell Elementary School	Mendell Elementary	1	2019-01-17 18:50:58	2019-03-01 11:40:47	CF6900C6-D3F4-4FE6-ADF9-C64F2A3AD23C	101356	4370
4361	350302	Samuel Adams Elementary School	Adams Elementary	1	2019-01-17 18:50:58	2019-03-01 11:40:47	C0250A6A-E767-4C75-B1B1-0715A2E8ABFF	101203	4361
4360	350080	Donald McKay K-8 School	McKay K-8 School	1	2019-01-17 18:50:59	2019-03-01 11:40:47	FD349C85-A4E8-4B84-8F31-70639FFC3779	101352	4360
4350	350227	Mather Elementary School	Mather Elementary	1	2019-01-17 18:50:58	2019-03-01 11:40:47	5273917E-6810-464E-8E96-BF2140427477	101348	4350
4340	350178	John Marshall Elementary School	Marshall Elementary	7	2019-01-17 18:50:58	2019-03-01 11:40:46	FB6A94D8-1167-4E4B-92D1-E388F50D99A0	101344	4340
4331	350262	Patrick Lyndon Pilot School	Lyndon K-8 School	1	2019-01-17 18:50:58	2019-03-01 11:40:46	FF57D301-5C5C-4E15-A989-DB37752626EA	101335	4331
4323	350656	Mario Umana Academy	Mario Umana Academy	1	2019-01-17 18:50:58	2019-03-01 11:40:46	87FA6FCA-1056-4A3D-BC1D-D004100C5EBF	101504	4323
4322	350156	James Otis Elementary School	Otis Elementary	1	2019-01-17 18:50:58	2019-03-01 11:40:46	03A611FA-772A-4929-86F5-8E2711605C2C	101382	4322
4321	350066	Dante Alighieri Elementary School	Alighieri Dante Montessori School	1	2019-01-17 18:50:58	2019-03-01 11:40:46	AD1CB387-A0E4-4077-92F7-232096D0049C	101207	4321
4311	350184	Joseph P. Manning Elementary School	Manning Elementary	1	2019-01-17 18:50:57	2019-03-01 11:40:45	55C5431D-C7C1-4BC1-8807-2A4B4AA84A0E	101342	4311
4291	350001	Lee Academy	Lee Academy	1	2019-01-17 18:50:57	2019-03-01 11:40:45	C019B529-AC96-45EF-87DB-6C0E78A743AB	101329	4291
4290	350183	Joseph Lee K-8 School	Lee K-8 School	1	2019-01-17 18:50:58	2019-03-01 11:40:45	AA8F05C0-964A-4DF1-8A42-8AB49D20BEB3	101328	4290
4285	350382	Mission Hill K-8 School	Mission Hill K-8 School	1	2019-01-17 18:50:58	2019-03-01 11:40:45	2181FF42-CB2D-44A7-8E59-004234F55228	101224	4285
4283	350346	Warren/Prescott K-8 School	Warren/Prescott K-8 School	1	2019-01-17 18:50:58	2019-03-01 11:40:45	3E18C468-0657-49B1-92C8-16A27D9FBC6A	101434	4283
4280	350200	Harvard/Kent Elementary School	Harvard/Kent Elementary	1	2019-01-17 18:50:57	2019-03-01 11:40:44	912FE2B0-2E67-409F-AD02-C6856497D582	101324	4280
4272	350020	Curley K-8 School	Curley K-8 School	1	2019-01-17 18:50:58	2019-03-01 11:40:44	D3F02C8A-5DEC-46E4-8BB0-0DDC71278830	101256	4272
4271	N/A	James M. Curley Elementary School	Curley J Elementary	7	2019-01-17 18:50:57	2019-03-01 11:40:44	C6801BD4-83B8-4E15-8822-9F29E182FDCB	101255	4271
4270	350166	John F. Kennedy Elementary School	Kennedy John F Elementary	1	2019-01-17 18:50:57	2019-03-01 11:40:44	F8CE1FD5-4472-4DED-A465-457D21CDCAAA	101318	4270
4261	350036	William E. Carter School	William E Carter School	1	2019-01-17 18:50:57	2019-03-01 11:40:44	2753581F-F005-434F-8AC7-B79969F521F6	101165	4261
4260	350182	Joseph J. Hurley K-8 School	Hurley K-8 School	1	2019-01-17 18:50:58	2019-03-01 11:40:44	AA23B985-B0DF-4B23-B1E6-4C88216CEE54	101310	4260
4250	350167	UP Academy Holland	UP Academy Holland	1	2019-01-17 18:50:57	2019-03-01 11:40:43	DDE43024-0C13-47FC-91CD-0928B7BFDA83	101307	4250
4242	350377	Higginson / Lewis K-8 School	Higginson/Lewis K-8	1	2019-01-17 18:50:58	2019-03-01 11:40:43	CDFB338D-F486-46B7-8094-0DBA6A7E33FA	101540	4242
4241	350015	Henry L. Higginson Elementary School (k0-2)	Higginson Inclusion K0-2 School	1	2019-01-17 18:50:57	2019-03-01 11:40:43	1C1B32EC-1CCD-4461-AC27-B19A22E6D5BC	101303	4241
4240	350072	David A. Ellis Elementary School	Ellis Elementary	1	2019-01-17 18:50:56	2019-03-01 11:40:43	3A4A35A8-82FA-4148-BE02-33D609FE2578	101262	4240
4231	350006	West Zone Early Learning Center	West Zone Early Learning Center	1	2019-01-17 18:50:56	2019-03-01 11:40:43	7D949518-5036-4D33-9610-438E04FFDF9C	101435	4231
4230	350153	James W. Hennigan Elementary School	Hennigan K-8 School	1	2019-01-17 18:50:57	2019-03-01 11:40:43	EE403BE3-A32F-4B45-B0CB-A623FB45FBC7	101299	4230
4221	N/A	Harriet A. Baldwin Elementary School	Baldwin Elementary	7	2019-01-17 18:50:56	2019-03-01 11:40:43	0410D9D3-6DBC-4D87-ACDD-6B7CDD7E6985	101211	4221
4220	N/A	Alexander Hamilton Elementary School	Hamilton Elementary	7	2019-01-17 18:50:56	2019-03-01 11:40:43	6EBD52A4-2F84-49C6-BE3E-02674BFA0CDE	101295	4220
4210	350077	Dennis C. Haley Elementary School	Haley Pilot School	1	2019-01-17 18:50:56	2019-03-01 11:40:43	D6D01FA5-E03F-459A-9956-930DABF3EACE	101293	4210
4201	350360	William Ellery Channing Elementary School	Channing Elementary	1	2019-01-17 18:50:56	2019-03-01 11:40:42	AA8F6787-D725-4191-A16B-D879FFD30291	101239	4201
4200	350135	Henry Grew Elementary School	Grew Elementary	1	2019-01-17 18:50:56	2019-03-01 11:40:42	14721D73-A4EE-4AE2-B089-21C9C91988BD	101288	4200
4193	350116	Franklin D. Roosevelt Elementary School (Grades K1-1)	Roosevelt K-8 School (K1-1)	1	2019-01-17 18:50:57	2019-03-01 11:40:42	B17A9FAB-E8F9-4B73-A03A-A1D916912739	101404	4193
4192	350116	Franklin D. Roosevelt Elementary School (Grades 2-8)	Roosevelt K-8 School (2-8)	1	2019-01-17 18:50:57	2019-03-01 11:40:42	78443B96-C75E-45EA-8F05-A8B5345510A2	101404	4192
4190	350094	Elihu Greenwood Leadership Academy	Greenwood E. Leadership Academy	7	2019-01-17 18:50:56	2019-03-01 11:40:42	EC8F06B6-3EDB-4800-B676-C6996BB11209	101285	4190
4178	350375	Thomas A. Edison K-8 School	Edison K-8 School	1	2019-01-17 18:50:57	2019-03-01 11:40:42	A96080AE-5259-4F9E-8708-200374085EA1	101519	4178
4173	350374	F. Lyman Winship Elementary School	Winship Elementary	1	2019-01-17 18:50:56	2019-03-01 11:40:41	ED75ECD3-0D7C-44D4-AD9D-F4819BA9CC61	101436	4173
4171	350004	Mary Lyon K-8 School	Lyon K-8 School	1	2019-01-17 18:50:56	2019-03-01 11:40:41	9E55F652-ED0E-4AEE-8862-25881F4A2699	101339	4171
4170	N/A	James A. Garfield Elementary School	Garfield Elementary	7	2019-01-17 18:50:55	2019-03-01 11:40:41	B98FA348-D8C4-4CD5-BC8C-28FE9A187787	101281	4170
4160	350326	Gardner Pilot Academy	Gardner Pilot Academy	1	2019-01-17 18:50:55	2019-03-01 11:40:41	AB015400-2AF7-4F46-98BA-8A1DEA8A0E31	101279	4160
4151	350054	Charles H. Taylor Elementary School	Taylor Elementary	1	2019-01-17 18:50:55	2019-03-01 11:40:41	F9521AE5-2D80-4E67-B4B4-AE694B6CA68E	101422	4151
4150	350102	Emily A. Fifield Elementary School	Fifield Elementary	7	2019-01-17 18:50:55	2019-03-01 11:40:41	D50DE89E-44BC-4DC5-937D-8292B43B1174	101275	4150
4140	350088	Edward Everett Elementary School	Everett Elementary	1	2019-01-17 18:50:55	2019-03-01 11:40:40	C477F8C7-1043-46BD-942F-1A2B8E8D5318	101267	4140
4131	N/A	William E. Endicott Elementary School	Endicott Elementary	7	2019-01-17 18:50:55	2019-03-01 11:40:40	2B3B6636-CA8E-412C-B556-F295F637BE97	101265	4131
4130	350308	Sarah Greenwood K-8 School	Greenwood Sarah K-8 School	1	2019-01-17 18:50:56	2019-03-01 11:40:40	170C3DE8-414F-4CE6-8E7C-25E169C2D161	101286	4130
4121	350304	Samuel W. Mason Elementary School	Mason Elementary	1	2019-01-17 18:50:55	2019-03-01 11:40:40	1B770CE8-9084-48E9-901C-F5BF61887B3F	101346	4121
4120	350288	Ralph W. Emerson Elementary School	Emerson Elementary	7	2019-01-17 18:50:55	2019-03-01 11:40:40	DD40D308-F672-48AD-AED7-8DC89F56027E	101263	4120
4113	350243	Nathan Hale Elementary School	Hale Elementary	1	2019-01-17 18:50:55	2019-03-01 11:40:40	2128DE19-2374-4927-AD0E-B7861434EAD9	101292	4113
4100	350268	Paul A. Dever Elementary School	Dever Elementary	1	2019-01-17 18:50:55	2019-03-01 11:40:40	4689A679-EBAF-4511-B8FC-F2B62ED06878	101257	4100
4084	350138	Oliver W. Holmes Elementary School	Holmes Elementary	1	2019-01-17 18:50:55	2019-03-01 11:40:40	4F312D71-6869-4753-B067-B73248C75459	101309	4084
4082	350237	Wolfgang Amadeus Mozart Elementary School	Mozart Elementary	1	2019-01-17 18:50:54	2019-03-01 11:40:39	EE8191BB-0D2E-4156-B3D1-5D8BA5D150C4	101364	4082
4081	350278	Phineas Bates Elementary School	Bates Elementary	1	2019-01-17 18:50:54	2019-03-01 11:40:39	80E6466F-52AB-4ABD-968F-267FF77ABF45	101217	4081
4080	350122	George H. Conley Elementary School	Conley Elementary	1	2019-01-17 18:50:54	2019-03-01 11:40:39	19E360C8-DAB6-4275-8DDA-8666BB852009	101253	4080
4070	350154	James J. Chittick Elementary School	Chittick Elementary	1	2019-01-17 18:50:54	2019-03-01 11:40:39	BDEE74D3-3CC6-4742-87F5-6E9402739B6F	101247	4070
